city,district,geometry,to_city,to_district,discrepancy,num_order,fromDistrict
Hồ Chí Minh,Bình Chánh,"POLYGON ((106.57975 10.65610, 106.57792 10.653...",Hồ Chí Minh,Bình Chánh,1281.928778,2452,Bình Chánh
Hồ Chí Minh,Bình Thạnh,"POLYGON ((106.69440 10.79489, 106.69161 10.795...",Hồ Chí Minh,Bình Thạnh,955.89853,28037,Bình Thạnh
Hồ Chí Minh,Bình Tân,"POLYGON ((106.60281 10.71496, 106.60394 10.717...",Hồ Chí Minh,Bình Tân,850.199758,9116,Bình Tân
Hồ Chí Minh,Gò Vấp,"POLYGON ((106.63237 10.83301, 106.63282 10.834...",Hồ Chí Minh,Gò Vấp,670.341512,22751,Gò Vấp
Hồ Chí Minh,Hóc Môn,"POLYGON ((106.52589 10.87363, 106.53220 10.897...",Hồ Chí Minh,Hóc Môn,976.799924,1184,Hóc Môn
Hồ Chí Minh,Nhà Bè,"POLYGON ((106.78344 10.58790, 106.78268 10.581...",Hồ Chí Minh,Nhà Bè,1319.881018,1705,Nhà Bè
Hồ Chí Minh,Phú Nhuận,"POLYGON ((106.67078 10.78790, 106.66808 10.788...",Hồ Chí Minh,Phú Nhuận,814.837603,12071,Phú Nhuận
Hồ Chí Minh,Quận 1,"POLYGON ((106.68523 10.75642, 106.68401 10.759...",Hồ Chí Minh,Quận 1,771.099176,17529,Quận 1
Hồ Chí Minh,Quận 10,"POLYGON ((106.66279 10.75869, 106.66153 10.758...",Hồ Chí Minh,Quận 10,654.365712,14618,Quận 10
Hồ Chí Minh,Quận 11,"POLYGON ((106.65076 10.75341, 106.64978 10.753...",Hồ Chí Minh,Quận 11,592.952361,5820,Quận 11
Hồ Chí Minh,Quận 12,"POLYGON ((106.60332 10.82630, 106.60429 10.829...",Hồ Chí Minh,Quận 12,1135.689217,6591,Quận 12
Hồ Chí Minh,Quận 2,"POLYGON ((106.73477 10.76678, 106.73376 10.762...",Hồ Chí Minh,Quận 2,1325.123222,7339,Quận 2
Hồ Chí Minh,Quận 3,"POLYGON ((106.67673 10.77058, 106.67904 10.772...",Hồ Chí Minh,Quận 3,751.977962,13652,Quận 3
Hồ Chí Minh,Quận 4,"POLYGON ((106.70499 10.75239, 106.70224 10.752...",Hồ Chí Minh,Quận 4,1006.338512,5742,Quận 4
Hồ Chí Minh,Quận 5,"POLYGON ((106.65334 10.75110, 106.65331 10.751...",Hồ Chí Minh,Quận 5,618.93367,8531,Quận 5
Hồ Chí Minh,Quận 6,"POLYGON ((106.64180 10.73826, 106.63454 10.733...",Hồ Chí Minh,Quận 6,756.041902,4470,Quận 6
Hồ Chí Minh,Quận 7,"POLYGON ((106.73573 10.70318, 106.73420 10.698...",Hồ Chí Minh,Quận 7,997.273538,16712,Quận 7
Hồ Chí Minh,Quận 8,"POLYGON ((106.61489 10.69776, 106.60960 10.695...",Hồ Chí Minh,Quận 8,1151.361874,7433,Quận 8
Hồ Chí Minh,Quận 9,"POLYGON ((106.76466 10.80979, 106.76395 10.812...",Hồ Chí Minh,Quận 9,868.03704,6100,Quận 9
Hồ Chí Minh,Thủ Đức,"POLYGON ((106.70823 10.83373, 106.70739 10.835...",Hồ Chí Minh,Thủ Đức,904.175989,10380,Thủ Đức
Hồ Chí Minh,Tân Bình,"POLYGON ((106.64806 10.77479, 106.64771 10.775...",Hồ Chí Minh,Tân Bình,753.289793,22826,Tân Bình
Hồ Chí Minh,Tân Phú,"POLYGON ((106.61879 10.78453, 106.61741 10.788...",Hồ Chí Minh,Tân Phú,658.402668,13535,Tân Phú
